Population,Biomass,Frequency
Naive CD4,Low,53.77733887
Naive CD4,Low,56.0259587
Naive CD4,Low,42.88374205
Naive CD4,Low,48.40876379
Naive CD4,Low,35.89521354
Naive CD4,High,46.78217174
Naive CD4,High,41.05796957
Naive CD4,High,40.90890737
Naive CD4,High,46.2247786
Naive CD4,High,47.54574365
Memory CD4,Low,23.72709053
Memory CD4,Low,14.03657817
Memory CD4,Low,18.65122616
Memory CD4,Low,26.86710379
Memory CD4,Low,17.19356027
Memory CD4,High,20.91130362
Memory CD4,High,19.17072686
Memory CD4,High,24.76782686
Memory CD4,High,13.32420341
Memory CD4,High,15.99760336
Naive CD8,Low,16.10125185
Naive CD8,Low,21.63303835
Naive CD8,Low,17.7520436
Naive CD8,Low,15.91236207
Naive CD8,Low,28.07523131
Naive CD8,High,17.64767463
Naive CD8,High,26.64611713
Naive CD8,High,19.53686506
Naive CD8,High,26.56988953
Naive CD8,High,23.65764852
Memory CD8,Low,1.834209533
Memory CD8,Low,2.35280236
Memory CD8,Low,7.656675749
Memory CD8,Low,3.214457061
Memory CD8,Low,6.028038396
Memory CD8,High,3.750425292
Memory CD8,High,3.601471612
Memory CD8,High,5.27133974
Memory CD8,High,1.561216105
Memory CD8,High,5.798036595
DN T cells,Low,0.609950913
DN T cells,Low,0.648967552
DN T cells,Low,1.039963669
DN T cells,Low,1.503278426
DN T cells,Low,1.28707937
DN T cells,High,0.984061347
DN T cells,High,0.670179974
DN T cells,High,1.33045304
DN T cells,High,0.64274628
DN T cells,High,1.364243905
CD8a- MAIT,Low,0.219291876
CD8a- MAIT,Low,0.174631268
CD8a- MAIT,Low,0.663033606
CD8a- MAIT,Low,0.287861826
CD8a- MAIT,Low,0.591536478
CD8a- MAIT,High,0.246015337
CD8a- MAIT,High,0.276424381
CD8a- MAIT,High,0.185738512
CD8a- MAIT,High,0.35058888
CD8a- MAIT,High,0.820389916
CD8a+ MAIT,Low,0.519910541
CD8a+ MAIT,Low,0.575811209
CD8a+ MAIT,Low,2.070844687
CD8a+ MAIT,Low,1.167439629
CD8a+ MAIT,Low,1.683603822
CD8a+ MAIT,High,1.031170667
CD8a+ MAIT,High,0.656259322
CD8a+ MAIT,High,0.767180812
CD8a+ MAIT,High,4.659910527
CD8a+ MAIT,High,2.617873439
TCRgd cells,Low,1.895204624
TCRgd cells,Low,3.688495575
TCRgd cells,Low,8.401453224
TCRgd cells,Low,1.711178634
TCRgd cells,Low,8.036662261
TCRgd cells,High,7.589834856
TCRgd cells,High,6.530774585
TCRgd cells,High,5.590325446
TCRgd cells,High,4.844334885
TCRgd cells,High,1.516338664